,Provinsi,2022,2023,2024
1,ACEH,"806,82","806,75","804,53"
2,SUMATERA UTARA,"1268,19","1239,71","1228,01"
3,SUMATERA BARAT,"335,21","340,37","345,73"
4,RIAU,"485,03","485,66","492,25"
5,JAMBI,"279,37","280,68","265,42"
6,SUMATERA SELATAN,"1044,69","1045,68","984,24"
7,BENGKULU,"297,23","288,46","281,36"
8,LAMPUNG,"1002,41","970,67","941,23"
9,KEP. BANGKA BELITUNG,"66,78","68,69","69,95"
10,KEPULAUAN RIAU,"151,68","142,5","138,3"
11,DKI JAKARTA,"502,04","477,83","464,93"
12,JAWA BARAT,"4070,98","3888,6","3848,67"
13,JAWA TENGAH,"3831,44","3791,5","3704,33"
14,D I YOGYAKARTA,"454,76","448,47","445,55"
15,JAWA TIMUR,"4181,29","4188,81","3982,69"
16,BANTEN,"814,02","826,13","791,61"
17,BALI,"205,69","193,78","184,43"
18,NUSA TENGGARA BARAT,"731,94","751,23","709,01"
19,NUSA TENGGARA TIMUR,"1131,62","1141,11","1127,57"
20,KALIMANTAN BARAT,"350,25","353,35","336,08"
21,KALIMANTAN TENGAH,"145,1","142,17","145,63"
22,KALIMANTAN SELATAN,"195,7","188,93","183,31"
23,KALIMANTAN TIMUR,"236,25","231,08","221,34"
24,KALIMANTAN UTARA,"49,46","47,97","47,83"
25,SULAWESI UTARA,"185,14",189,"186,86"
26,SULAWESI TENGAH,"388,36","395,66","379,76"
27,SULAWESI SELATAN,"777,44","788,85","736,48"
28,SULAWESI TENGGARA,"309,79","321,53","319,71"
29,GORONTALO,"185,44","183,72","177,99"
30,SULAWESI BARAT,"165,72","164,14","162,19"
31,MALUKU,"290,57","301,61","297,68"
32,MALUKU UTARA,"79,88","83,8","83,09"
33,PAPUA BARAT,"218,78","214,98","110,16"
34,PAPUA BARAT DAYA,-,-,"102,27"
35,PAPUA,"922,12","915,15","152,91"
36,PAPUA SELATAN,-,-,"92,2"
37,PAPUA TENGAH,-,-,"308,48"
38,PAPUA PEGUNUNGAN,-,-,"365,44"
